calBP,Australia_NewZealand._Melanesia,Eastern_Africa,Eastern_Asia,Eastern_Europe,Europe,Micronesia_and_Polynesia,Middle_and_Southern.Africa,Middle_North_America,Northern_Africa,Northern_North_America_and_Greenland,South_America,Western_Africa,Western_Asia
7350,3.651076703,0.571340031,3.984111909,19.5497328,92.38200463,NA,2.699220903,33.56120896,19.78272192,6.259522597,9.961734977,2.085472579,19.12101051
7320,3.614068961,0.436327709,3.538209914,24.18725705,99.21152553,NA,2.707299537,32.79514854,19.39841052,6.191121941,9.506504679,1.947853711,18.35130104
7290,3.590490298,0.347407983,3.458599628,29.68129683,105.7187047,NA,2.679212886,32.43795468,18.76501924,6.255828157,9.155717083,1.904808918,18.36649561
7260,3.570284913,0.285809632,3.45526406,34.47352068,110.7919192,NA,2.679883791,32.40197676,18.26554739,6.355373844,8.896414742,1.910334598,18.6814702
7230,3.521438448,0.227399934,3.439580303,38.47050505,117.0833171,NA,2.612389024,31.88812722,17.44649266,6.443535583,8.747977196,1.92179656,18.47245471
7200,3.46089926,0.181285304,3.466768627,40.94363018,122.9305478,NA,2.526545189,31.56442496,16.35657799,6.510122633,8.852152853,1.939578689,18.28716783
7170,3.419783504,0.152985652,3.590860723,43.41611053,127.4642119,NA,2.410006372,31.34557198,15.23490744,6.571731737,8.943600485,1.946994217,18.36054978
7140,3.378629862,0.142754169,3.697818617,44.36429575,130.7883133,NA,2.283145282,30.98941909,14.28120827,6.600124578,9.109145351,1.95489618,18.22019189
7110,3.331514855,0.159114061,3.676804409,42.43275257,131.501547,NA,2.221570047,30.51745261,13.73303736,6.57317813,9.376900832,1.966875527,17.7231751
7080,3.285007359,0.173364048,3.64173024,39.784729,132.0251671,NA,2.164371359,30.19373975,13.25123065,6.532138742,9.724813166,1.982402302,17.12315312
7050,3.26052229,0.174354967,3.64818653,36.74780082,132.598731,NA,2.157830978,30.17733817,12.85568344,6.492298784,10.12886951,2.004773582,16.41976319
7020,3.283338719,0.163547679,3.674454664,34.7948717,131.7590335,NA,2.26514958,30.45367371,12.93224534,6.485626639,10.30729173,2.022792431,16.10132309
6990,3.329532681,0.145063382,3.749840479,32.62069405,130.1946139,NA,2.407084868,30.86514142,13.19141274,6.504187986,10.49241578,2.041434291,15.86343496
6960,3.37880173,0.129128498,3.846548938,29.70179543,127.8578188,NA,2.543225286,31.40093668,13.59056995,6.533782091,10.77522692,2.055511739,15.62383623
6930,3.440338048,0.117771381,4.000222263,27.08803995,125.0172808,NA,2.66773289,31.97838854,14.11094357,6.596750765,11.03907458,2.059660409,15.47225836
6900,3.511071165,0.115581622,4.19659678,24.60987247,122.0681977,NA,2.752891579,32.68123363,14.67424884,6.66920828,11.30887168,2.060321049,15.32853061
6870,3.577489129,0.121340604,4.431161384,23.27276368,119.696239,NA,2.825567197,33.16966586,15.06212036,6.757588835,11.47535099,2.054278396,15.32024513
